winners,losers,skipped
"Robert Roode & Doplh Ziggler","Montez Ford & Angelo Dawkins | Chad Gable & Otis",0
"Zelina Vega","Doudrop",0
"Damian Priest","T-Bar",1
"Carmella","Liv Morgan",0
"Keith 'Bearcat' Lee","Cedric Alexander",0
"Austin Theory","Dominik Mysterio",0
"Randy Orton & Riddle","Robert Roode & Dolph Ziggler",1,0
"Seth Rollins","Rey Mysterio | Kevin Owens | Finn Balor",0,0
