winners,losers,skipped
"Charlotte Flair","Shotzi",0
"Drew McIntyre","Mustafa Ali",0
"Happy Corbin & Madcap Moss","Shinsuke Nakamura & Rick Boogs",0
"Shayna Baszler","Naomi",0
"Xavier Woods & Kofi Kingston","Jimmy Uso & Jey Uso", 0
